nurse_id,name,day,shift,assigned,skill_level
0,Nurse_1,Mon,M,0,senior
0,Nurse_1,Mon,A,1,senior
0,Nurse_1,Mon,N,0,senior
0,Nurse_1,Tue,M,0,senior
0,Nurse_1,Tue,A,1,senior
0,Nurse_1,Tue,N,0,senior
0,Nurse_1,Wed,M,0,senior
0,Nurse_1,Wed,A,0,senior
0,Nurse_1,Wed,N,1,senior
0,Nurse_1,Thu,M,0,senior
0,Nurse_1,Thu,A,1,senior
0,Nurse_1,Thu,N,0,senior
0,Nurse_1,Fri,M,0,senior
0,Nurse_1,Fri,A,0,senior
0,Nurse_1,Fri,N,0,senior
0,Nurse_1,Sat,M,0,senior
0,Nurse_1,Sat,A,1,senior
0,Nurse_1,Sat,N,0,senior
0,Nurse_1,Sun,M,0,senior
0,Nurse_1,Sun,A,1,senior
0,Nurse_1,Sun,N,0,senior
1,Nurse_2,Mon,M,1,junior
1,Nurse_2,Mon,A,0,junior
1,Nurse_2,Mon,N,0,junior
1,Nurse_2,Tue,M,0,junior
1,Nurse_2,Tue,A,0,junior
1,Nurse_2,Tue,N,0,junior
1,Nurse_2,Wed,M,0,junior
1,Nurse_2,Wed,A,0,junior
1,Nurse_2,Wed,N,0,junior
1,Nurse_2,Thu,M,0,junior
1,Nurse_2,Thu,A,0,junior
1,Nurse_2,Thu,N,0,junior
1,Nurse_2,Fri,M,0,junior
1,Nurse_2,Fri,A,1,junior
1,Nurse_2,Fri,N,0,junior
1,Nurse_2,Sat,M,0,junior
1,Nurse_2,Sat,A,1,junior
1,Nurse_2,Sat,N,0,junior
1,Nurse_2,Sun,M,0,junior
1,Nurse_2,Sun,A,1,junior
1,Nurse_2,Sun,N,0,junior
2,Nurse_3,Mon,M,0,icu
2,Nurse_3,Mon,A,1,icu
2,Nurse_3,Mon,N,0,icu
2,Nurse_3,Tue,M,0,icu
2,Nurse_3,Tue,A,0,icu
2,Nurse_3,Tue,N,0,icu
2,Nurse_3,Wed,M,0,icu
2,Nurse_3,Wed,A,1,icu
2,Nurse_3,Wed,N,0,icu
2,Nurse_3,Thu,M,0,icu
2,Nurse_3,Thu,A,0,icu
2,Nurse_3,Thu,N,1,icu
2,Nurse_3,Fri,M,1,icu
2,Nurse_3,Fri,A,0,icu
2,Nurse_3,Fri,N,0,icu
2,Nurse_3,Sat,M,1,icu
2,Nurse_3,Sat,A,0,icu
2,Nurse_3,Sat,N,0,icu
2,Nurse_3,Sun,M,0,icu
2,Nurse_3,Sun,A,0,icu
2,Nurse_3,Sun,N,1,icu
3,Nurse_4,Mon,M,0,senior
3,Nurse_4,Mon,A,1,senior
3,Nurse_4,Mon,N,0,senior
3,Nurse_4,Tue,M,0,senior
3,Nurse_4,Tue,A,0,senior
3,Nurse_4,Tue,N,1,senior
3,Nurse_4,Wed,M,1,senior
3,Nurse_4,Wed,A,0,senior
3,Nurse_4,Wed,N,0,senior
3,Nurse_4,Thu,M,0,senior
3,Nurse_4,Thu,A,1,senior
3,Nurse_4,Thu,N,0,senior
3,Nurse_4,Fri,M,0,senior
3,Nurse_4,Fri,A,0,senior
3,Nurse_4,Fri,N,1,senior
3,Nurse_4,Sat,M,0,senior
3,Nurse_4,Sat,A,1,senior
3,Nurse_4,Sat,N,0,senior
3,Nurse_4,Sun,M,1,senior
3,Nurse_4,Sun,A,0,senior
3,Nurse_4,Sun,N,0,senior
4,Nurse_5,Mon,M,1,junior
4,Nurse_5,Mon,A,0,junior
4,Nurse_5,Mon,N,0,junior
4,Nurse_5,Tue,M,1,junior
4,Nurse_5,Tue,A,0,junior
4,Nurse_5,Tue,N,0,junior
4,Nurse_5,Wed,M,1,junior
4,Nurse_5,Wed,A,0,junior
4,Nurse_5,Wed,N,0,junior
4,Nurse_5,Thu,M,0,junior
4,Nurse_5,Thu,A,1,junior
4,Nurse_5,Thu,N,0,junior
4,Nurse_5,Fri,M,1,junior
4,Nurse_5,Fri,A,0,junior
4,Nurse_5,Fri,N,0,junior
4,Nurse_5,Sat,M,0,junior
4,Nurse_5,Sat,A,1,junior
4,Nurse_5,Sat,N,0,junior
4,Nurse_5,Sun,M,0,junior
4,Nurse_5,Sun,A,1,junior
4,Nurse_5,Sun,N,0,junior
5,Nurse_6,Mon,M,1,icu
5,Nurse_6,Mon,A,0,icu
5,Nurse_6,Mon,N,0,icu
5,Nurse_6,Tue,M,0,icu
5,Nurse_6,Tue,A,0,icu
5,Nurse_6,Tue,N,1,icu
5,Nurse_6,Wed,M,1,icu
5,Nurse_6,Wed,A,0,icu
5,Nurse_6,Wed,N,0,icu
5,Nurse_6,Thu,M,1,icu
5,Nurse_6,Thu,A,0,icu
5,Nurse_6,Thu,N,0,icu
5,Nurse_6,Fri,M,0,icu
5,Nurse_6,Fri,A,0,icu
5,Nurse_6,Fri,N,1,icu
5,Nurse_6,Sat,M,0,icu
5,Nurse_6,Sat,A,1,icu
5,Nurse_6,Sat,N,0,icu
5,Nurse_6,Sun,M,1,icu
5,Nurse_6,Sun,A,0,icu
5,Nurse_6,Sun,N,0,icu
6,Nurse_7,Mon,M,1,senior
6,Nurse_7,Mon,A,0,senior
6,Nurse_7,Mon,N,0,senior
6,Nurse_7,Tue,M,0,senior
6,Nurse_7,Tue,A,0,senior
6,Nurse_7,Tue,N,0,senior
6,Nurse_7,Wed,M,0,senior
6,Nurse_7,Wed,A,1,senior
6,Nurse_7,Wed,N,0,senior
6,Nurse_7,Thu,M,0,senior
6,Nurse_7,Thu,A,1,senior
6,Nurse_7,Thu,N,0,senior
6,Nurse_7,Fri,M,0,senior
6,Nurse_7,Fri,A,0,senior
6,Nurse_7,Fri,N,1,senior
6,Nurse_7,Sat,M,0,senior
6,Nurse_7,Sat,A,1,senior
6,Nurse_7,Sat,N,0,senior
6,Nurse_7,Sun,M,1,senior
6,Nurse_7,Sun,A,0,senior
6,Nurse_7,Sun,N,0,senior
7,Nurse_8,Mon,M,0,senior
7,Nurse_8,Mon,A,1,senior
7,Nurse_8,Mon,N,0,senior
7,Nurse_8,Tue,M,0,senior
7,Nurse_8,Tue,A,1,senior
7,Nurse_8,Tue,N,0,senior
7,Nurse_8,Wed,M,0,senior
7,Nurse_8,Wed,A,0,senior
7,Nurse_8,Wed,N,0,senior
7,Nurse_8,Thu,M,0,senior
7,Nurse_8,Thu,A,0,senior
7,Nurse_8,Thu,N,0,senior
7,Nurse_8,Fri,M,0,senior
7,Nurse_8,Fri,A,1,senior
7,Nurse_8,Fri,N,0,senior
7,Nurse_8,Sat,M,1,senior
7,Nurse_8,Sat,A,0,senior
7,Nurse_8,Sat,N,0,senior
7,Nurse_8,Sun,M,0,senior
7,Nurse_8,Sun,A,1,senior
7,Nurse_8,Sun,N,0,senior
8,Nurse_9,Mon,M,0,junior
8,Nurse_9,Mon,A,1,junior
8,Nurse_9,Mon,N,0,junior
8,Nurse_9,Tue,M,0,junior
8,Nurse_9,Tue,A,1,junior
8,Nurse_9,Tue,N,0,junior
8,Nurse_9,Wed,M,0,junior
8,Nurse_9,Wed,A,0,junior
8,Nurse_9,Wed,N,0,junior
8,Nurse_9,Thu,M,0,junior
8,Nurse_9,Thu,A,1,junior
8,Nurse_9,Thu,N,0,junior
8,Nurse_9,Fri,M,0,junior
8,Nurse_9,Fri,A,0,junior
8,Nurse_9,Fri,N,1,junior
8,Nurse_9,Sat,M,1,junior
8,Nurse_9,Sat,A,0,junior
8,Nurse_9,Sat,N,0,junior
8,Nurse_9,Sun,M,1,junior
8,Nurse_9,Sun,A,0,junior
8,Nurse_9,Sun,N,0,junior
9,Nurse_10,Mon,M,0,junior
9,Nurse_10,Mon,A,0,junior
9,Nurse_10,Mon,N,0,junior
9,Nurse_10,Tue,M,0,junior
9,Nurse_10,Tue,A,0,junior
9,Nurse_10,Tue,N,0,junior
9,Nurse_10,Wed,M,0,junior
9,Nurse_10,Wed,A,0,junior
9,Nurse_10,Wed,N,1,junior
9,Nurse_10,Thu,M,1,junior
9,Nurse_10,Thu,A,0,junior
9,Nurse_10,Thu,N,0,junior
9,Nurse_10,Fri,M,1,junior
9,Nurse_10,Fri,A,0,junior
9,Nurse_10,Fri,N,0,junior
9,Nurse_10,Sat,M,1,junior
9,Nurse_10,Sat,A,0,junior
9,Nurse_10,Sat,N,0,junior
9,Nurse_10,Sun,M,1,junior
9,Nurse_10,Sun,A,0,junior
9,Nurse_10,Sun,N,0,junior
10,Nurse_11,Mon,M,0,junior
10,Nurse_11,Mon,A,0,junior
10,Nurse_11,Mon,N,0,junior
10,Nurse_11,Tue,M,1,junior
10,Nurse_11,Tue,A,0,junior
10,Nurse_11,Tue,N,0,junior
10,Nurse_11,Wed,M,0,junior
10,Nurse_11,Wed,A,0,junior
10,Nurse_11,Wed,N,0,junior
10,Nurse_11,Thu,M,1,junior
10,Nurse_11,Thu,A,0,junior
10,Nurse_11,Thu,N,0,junior
10,Nurse_11,Fri,M,0,junior
10,Nurse_11,Fri,A,0,junior
10,Nurse_11,Fri,N,0,junior
10,Nurse_11,Sat,M,0,junior
10,Nurse_11,Sat,A,0,junior
10,Nurse_11,Sat,N,1,junior
10,Nurse_11,Sun,M,0,junior
10,Nurse_11,Sun,A,1,junior
10,Nurse_11,Sun,N,0,junior
11,Nurse_12,Mon,M,0,icu
11,Nurse_12,Mon,A,0,icu
11,Nurse_12,Mon,N,1,icu
11,Nurse_12,Tue,M,0,icu
11,Nurse_12,Tue,A,1,icu
11,Nurse_12,Tue,N,0,icu
11,Nurse_12,Wed,M,0,icu
11,Nurse_12,Wed,A,0,icu
11,Nurse_12,Wed,N,1,icu
11,Nurse_12,Thu,M,1,icu
11,Nurse_12,Thu,A,0,icu
11,Nurse_12,Thu,N,0,icu
11,Nurse_12,Fri,M,0,icu
11,Nurse_12,Fri,A,0,icu
11,Nurse_12,Fri,N,1,icu
11,Nurse_12,Sat,M,0,icu
11,Nurse_12,Sat,A,0,icu
11,Nurse_12,Sat,N,1,icu
11,Nurse_12,Sun,M,0,icu
11,Nurse_12,Sun,A,1,icu
11,Nurse_12,Sun,N,0,icu
12,Nurse_13,Mon,M,0,senior
12,Nurse_13,Mon,A,0,senior
12,Nurse_13,Mon,N,1,senior
12,Nurse_13,Tue,M,0,senior
12,Nurse_13,Tue,A,0,senior
12,Nurse_13,Tue,N,0,senior
12,Nurse_13,Wed,M,0,senior
12,Nurse_13,Wed,A,0,senior
12,Nurse_13,Wed,N,0,senior
12,Nurse_13,Thu,M,0,senior
12,Nurse_13,Thu,A,0,senior
12,Nurse_13,Thu,N,1,senior
12,Nurse_13,Fri,M,1,senior
12,Nurse_13,Fri,A,0,senior
12,Nurse_13,Fri,N,0,senior
12,Nurse_13,Sat,M,0,senior
12,Nurse_13,Sat,A,0,senior
12,Nurse_13,Sat,N,0,senior
12,Nurse_13,Sun,M,0,senior
12,Nurse_13,Sun,A,0,senior
12,Nurse_13,Sun,N,1,senior
13,Nurse_14,Mon,M,0,senior
13,Nurse_14,Mon,A,0,senior
13,Nurse_14,Mon,N,0,senior
13,Nurse_14,Tue,M,0,senior
13,Nurse_14,Tue,A,0,senior
13,Nurse_14,Tue,N,0,senior
13,Nurse_14,Wed,M,0,senior
13,Nurse_14,Wed,A,0,senior
13,Nurse_14,Wed,N,0,senior
13,Nurse_14,Thu,M,0,senior
13,Nurse_14,Thu,A,0,senior
13,Nurse_14,Thu,N,0,senior
13,Nurse_14,Fri,M,0,senior
13,Nurse_14,Fri,A,1,senior
13,Nurse_14,Fri,N,0,senior
13,Nurse_14,Sat,M,0,senior
13,Nurse_14,Sat,A,0,senior
13,Nurse_14,Sat,N,0,senior
13,Nurse_14,Sun,M,0,senior
13,Nurse_14,Sun,A,0,senior
13,Nurse_14,Sun,N,0,senior
14,Nurse_15,Mon,M,0,junior
14,Nurse_15,Mon,A,0,junior
14,Nurse_15,Mon,N,0,junior
14,Nurse_15,Tue,M,0,junior
14,Nurse_15,Tue,A,0,junior
14,Nurse_15,Tue,N,1,junior
14,Nurse_15,Wed,M,0,junior
14,Nurse_15,Wed,A,1,junior
14,Nurse_15,Wed,N,0,junior
14,Nurse_15,Thu,M,0,junior
14,Nurse_15,Thu,A,0,junior
14,Nurse_15,Thu,N,0,junior
14,Nurse_15,Fri,M,0,junior
14,Nurse_15,Fri,A,1,junior
14,Nurse_15,Fri,N,0,junior
14,Nurse_15,Sat,M,0,junior
14,Nurse_15,Sat,A,0,junior
14,Nurse_15,Sat,N,0,junior
14,Nurse_15,Sun,M,0,junior
14,Nurse_15,Sun,A,0,junior
14,Nurse_15,Sun,N,0,junior
15,Nurse_16,Mon,M,0,junior
15,Nurse_16,Mon,A,0,junior
15,Nurse_16,Mon,N,0,junior
15,Nurse_16,Tue,M,0,junior
15,Nurse_16,Tue,A,0,junior
15,Nurse_16,Tue,N,0,junior
15,Nurse_16,Wed,M,0,junior
15,Nurse_16,Wed,A,0,junior
15,Nurse_16,Wed,N,0,junior
15,Nurse_16,Thu,M,0,junior
15,Nurse_16,Thu,A,0,junior
15,Nurse_16,Thu,N,1,junior
15,Nurse_16,Fri,M,0,junior
15,Nurse_16,Fri,A,0,junior
15,Nurse_16,Fri,N,0,junior
15,Nurse_16,Sat,M,0,junior
15,Nurse_16,Sat,A,0,junior
15,Nurse_16,Sat,N,0,junior
15,Nurse_16,Sun,M,0,junior
15,Nurse_16,Sun,A,0,junior
15,Nurse_16,Sun,N,0,junior
16,Nurse_17,Mon,M,0,senior
16,Nurse_17,Mon,A,0,senior
16,Nurse_17,Mon,N,0,senior
16,Nurse_17,Tue,M,0,senior
16,Nurse_17,Tue,A,1,senior
16,Nurse_17,Tue,N,0,senior
16,Nurse_17,Wed,M,0,senior
16,Nurse_17,Wed,A,1,senior
16,Nurse_17,Wed,N,0,senior
16,Nurse_17,Thu,M,1,senior
16,Nurse_17,Thu,A,0,senior
16,Nurse_17,Thu,N,0,senior
16,Nurse_17,Fri,M,1,senior
16,Nurse_17,Fri,A,0,senior
16,Nurse_17,Fri,N,0,senior
16,Nurse_17,Sat,M,1,senior
16,Nurse_17,Sat,A,0,senior
16,Nurse_17,Sat,N,0,senior
16,Nurse_17,Sun,M,0,senior
16,Nurse_17,Sun,A,0,senior
16,Nurse_17,Sun,N,0,senior
17,Nurse_18,Mon,M,0,junior
17,Nurse_18,Mon,A,0,junior
17,Nurse_18,Mon,N,1,junior
17,Nurse_18,Tue,M,1,junior
17,Nurse_18,Tue,A,0,junior
17,Nurse_18,Tue,N,0,junior
17,Nurse_18,Wed,M,0,junior
17,Nurse_18,Wed,A,1,junior
17,Nurse_18,Wed,N,0,junior
17,Nurse_18,Thu,M,1,junior
17,Nurse_18,Thu,A,0,junior
17,Nurse_18,Thu,N,0,junior
17,Nurse_18,Fri,M,0,junior
17,Nurse_18,Fri,A,1,junior
17,Nurse_18,Fri,N,0,junior
17,Nurse_18,Sat,M,0,junior
17,Nurse_18,Sat,A,0,junior
17,Nurse_18,Sat,N,0,junior
17,Nurse_18,Sun,M,0,junior
17,Nurse_18,Sun,A,0,junior
17,Nurse_18,Sun,N,0,junior
18,Nurse_19,Mon,M,0,senior
18,Nurse_19,Mon,A,0,senior
18,Nurse_19,Mon,N,0,senior
18,Nurse_19,Tue,M,1,senior
18,Nurse_19,Tue,A,0,senior
18,Nurse_19,Tue,N,0,senior
18,Nurse_19,Wed,M,1,senior
18,Nurse_19,Wed,A,0,senior
18,Nurse_19,Wed,N,0,senior
18,Nurse_19,Thu,M,0,senior
18,Nurse_19,Thu,A,0,senior
18,Nurse_19,Thu,N,1,senior
18,Nurse_19,Fri,M,0,senior
18,Nurse_19,Fri,A,0,senior
18,Nurse_19,Fri,N,0,senior
18,Nurse_19,Sat,M,0,senior
18,Nurse_19,Sat,A,0,senior
18,Nurse_19,Sat,N,1,senior
18,Nurse_19,Sun,M,0,senior
18,Nurse_19,Sun,A,0,senior
18,Nurse_19,Sun,N,1,senior
19,Nurse_20,Mon,M,1,senior
19,Nurse_20,Mon,A,0,senior
19,Nurse_20,Mon,N,0,senior
19,Nurse_20,Tue,M,1,senior
19,Nurse_20,Tue,A,0,senior
19,Nurse_20,Tue,N,0,senior
19,Nurse_20,Wed,M,1,senior
19,Nurse_20,Wed,A,0,senior
19,Nurse_20,Wed,N,0,senior
19,Nurse_20,Thu,M,0,senior
19,Nurse_20,Thu,A,1,senior
19,Nurse_20,Thu,N,0,senior
19,Nurse_20,Fri,M,0,senior
19,Nurse_20,Fri,A,0,senior
19,Nurse_20,Fri,N,0,senior
19,Nurse_20,Sat,M,1,senior
19,Nurse_20,Sat,A,0,senior
19,Nurse_20,Sat,N,0,senior
19,Nurse_20,Sun,M,1,senior
19,Nurse_20,Sun,A,0,senior
19,Nurse_20,Sun,N,0,senior
